FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
ZHEADN,None,ZHEADN15,None,254,22215599,1789136,12CI8,942CFA10-9349-11D6-9595-0002A54212B3,LIVE,ZHEADN15,ZHEADN,UNK,451640.4,206263.2,POINT (451640.4000000004 206263.19999999925)
ZOXLWD,ZCSTWD,None,None,450,25157228,1796058,12HUI,99770930-9357-11D6-9595-0002A54212B3,LIVE,ZOXLWD,ZCSTWD,UNK,542755.3,176322.6,POINT (542755.2999999998 176322.59999999963)
ZSHOTV,None,ZSHOTV02,None,152.4,21851134,1789072,12CGG,B96435D9-9349-11D6-9595-0002A54212B3,LIVE,ZSHOTV02,ZSHOTV,VENT,455854.60000000003,206633,POINT (455854.5999999996 206633)
ZSUR30,None,ZSUR3011,ZSUR3009,177.8,22041437,1789609,12CVD,1ADCCF51-9353-11D6-9595-0002A54212B3,LIVE,ZSUR3011,ZSUR3009,VENT,524578.9,169618.7,POINT (524578.9000000004 169618.69999999925)
ZELTHM,None,None,None,600,25070393,1795996,12HSS,8405FC72-C6AA-4B5E-8DCA-8C780482E5E2,LIVE,RF000001,ZWKREGES,UNK,551034.4,174145.7,POINT (551034.4000000004 174145.69999999925)
None,None,None,None,600,26345152,1793654,12FZQ,5D79E68C-9A65-476A-9297-9DEB463A81D9,LIVE,TF000089                      ,None,FBM,526803.1,169999.30000000002,POINT (526803.0999999996 169999.30000000075)
None,None,ZNORWD11,ZNORWD12,177.8,22033079,1790768,12DRK,F64FF06F-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD11,ZNORWD12,VENT,530489.3,171560,POINT (530489.2999999998 171560)
ZWOODF,None,ZWOODF38,ZWOODF129,600,null,7863064,5PJ6G,None,LIVE,ZWOODF38,ZWOODF129,None,538270.6841,184354.7804,POINT (538270.6841000002 184354.7804000005)
ZOVPRV,None,ZOVPRV09,None,254,22073672,1790639,12DNZ,222D4FD5-9355-11D6-9595-0002A54212B3,LIVE,ZOVPRV,ZOVPRV,VENT,531115.6,175648.5,POINT (531115.5999999996 175648.5)
ZCRCHH,None,None,None,406.40000000000003,15739819,1795912,12HQG,99D12EB6-9356-11D6-9595-0002A54212B3,LIVE,ZCRCHH,ZWKREGEN,UNK,531196.83616524,193539.08345071,POINT (531196.8361999998 193539.08349999972)
